LUT3,LUT4,LUT5,LUT6,LUT7,MEM16,MEM32,MEM64,Regs,DSPs,BRAM,Routing BRAM,Routing LUTs,Fanout Regs,Unavail. ALMs,Impl. ALMs,Needed ALMs
524800,524800,524800,262400,262400,262400,262400,131200,1049600,1963,2567,10268,524800,1049600,262400,262400,262400
22881,12125,13735,9230,457,1101,519,4619,82833,0,338,0,26186,4068,679,61240,51323
36493,13685,18775,10181,671,3078,519,4619,111007,0,338,0,34501,5217,872,79996,67817
57717,14608,26867,15557,973,5519,519,4619,146280,0,338,0,38297,5997,124,107539,89878
97595,17841,37280,15347,1335,10511,519,4619,216565,0,338,0,61855,8386,1948,156188,129614
23622,11247,12449,9482,472,989,519,4619,80159,10,338,0,22662,3697,531,60075,49122
25313,12361,13452,9047,409,2709,519,4619,97532,50,338,0,33286,4197,691,69421,56925
31174,12959,14611,9003,410,4859,519,4619,119232,100,338,0,42483,4507,651,82585,66491
51619,13417,16631,9650,468,9159,519,4619,162341,200,338,0,51510,4806,555,109860,85736
22249,12646,12807,9614,411,577,574,4619,82207,0,338,0,24843,3755,533,61332,51176
42686,16138,14567,12347,409,649,776,4619,107111,0,338,0,27601,4689,618,80169,67426
138651,32921,21069,28351,511,1009,1789,4619,235267,0,338,0,40846,8415,614,179655,150161
256232,56659,27538,47168,525,384,54,4554,390125,0,1272,934,26646,16069,6938,251882,244212
22303,11344,12388,9554,470,559,519,4619,76409,0,338,0,21032,3780,563,57113,47578
22406,11942,13121,9976,477,559,519,4619,78565,0,338,0,21444,3862,621,58547,48845
20182,13953,14161,9447,405,559,519,4619,81912,0,338,0,24672,3982,654,60077,50496
20455,18933,14634,9496,388,559,519,4619,87728,0,338,0,25741,4159,759,65304,53777
22196,11261,12334,9502,467,559,519,4619,76347,0,338,0,21027,3827,511,56992,47382
22324,11964,12603,9660,473,559,519,4619,78553,0,338,0,21889,3835,548,58334,48443
19901,13332,13242,9314,407,559,519,4619,81312,0,338,0,25050,4103,551,59201,49552
20190,14832,14094,9762,409,559,519,4619,86816,0,338,0,26300,4118,638,62351,52214
22312,11374,12365,9551,468,559,519,4619,76409,0,338,0,21105,3794,565,57175,47582
22385,12000,13130,9926,474,559,519,4619,78565,0,338,0,21091,3780,588,58243,48759
20144,14140,14154,9322,398,559,519,4619,81912,0,338,0,25383,4149,716,61589,50494
20455,19067,14700,9296,388,559,519,4619,87728,0,338,0,27603,4280,767,67081,53730
24319,16788,17346,10360,438,559,519,4619,92835,0,338,0,27807,3943,683,67971,57431
28532,17994,20963,15860,1101,559,519,4619,110475,0,338,0,31626,4942,759,82305,68956
46950,26638,36590,14534,642,559,519,4619,144884,0,338,0,30837,5372,727,106971,87825
21235,12211,13103,9096,443,679,519,4619,79575,25,348,0,24820,3944,633,58878,49228
22900,12637,13803,9251,480,799,519,4619,83385,50,358,0,25937,3913,691,62821,51363
36625,17344,16767,12442,750,1759,5119,4619,113587,250,438,0,30560,4356,1203,82072,68841
58580,21895,25731,13025,438,2959,519,4619,151678,500,538,0,32604,4846,1284,106612,89191
76901,27027,32814,14722,442,4159,519,4619,189779,750,638,0,37798,5450,2079,130755,110693
21775,12059,12705,9014,425,769,519,4619,80865,35,353,0,25369,3758,526,59493,49397
23961,12233,13174,9115,441,979,519,4619,85965,70,368,0,26970,3857,608,62827,51792
41207,14286,16265,10042,567,2659,519,4619,126775,350,488,0,38088,4453,590,85493,70262
68986,16334,19793,11655,760,4759,519,4619,177770,700,638,0,47188,5428,490,117184,93447
93037,18931,23510,12778,907,6859,519,4619,228770,1050,788,0,60802,6451,480,148476,116770
24296,11203,12261,9469,473,559,574,4619,80605,0,338,0,23179,3710,552,60177,49133
24010,11953,12431,8966,416,559,629,4619,85455,0,338,0,26950,3904,544,61501,51045
41818,12557,12835,9082,423,559,1069,4619,124225,0,338,0,38992,5303,600,81957,66856
69828,12662,12929,9614,479,559,1619,4619,172380,0,338,0,46586,6638,502,107760,86503
22202,11143,12223,9445,469,559,519,4619,75488,0,338,0,21016,3663,514,56477,47107
22182,11156,12243,9446,471,559,519,4619,75476,0,338,0,20890,3634,524,56511,47105
22230,11118,12232,9468,468,559,519,4619,75558,0,339,1,21124,3638,551,56625,47154
22206,11143,12248,9444,467,559,519,4619,75961,0,339,1,21451,3724,568,56754,47387
22318,11165,12215,9453,472,559,519,4619,76757,0,339,1,21691,3759,549,57106,47678
22436,11179,12185,9469,465,559,519,4619,77763,0,339,1,22167,3616,527,57546,48117
19600,11838,12329,8932,407,559,519,4619,79770,0,339,1,26666,3670,536,58533,48858
22184,11156,12243,9446,471,559,519,4619,75476,0,339,1,20957,3787,517,56555,47135
22240,11118,12232,9468,468,559,519,4619,75558,0,339,1,20964,3809,495,56726,47154
22256,11143,12248,9444,467,559,519,4619,75961,0,339,1,21084,3679,559,56759,47353
22418,11165,12215,9453,472,559,519,4619,76757,0,339,1,21582,3766,547,57151,47639
22636,11179,12185,9469,465,559,519,4619,77763,0,339,1,22086,3708,559,57632,48185
20000,11838,12329,8932,407,559,519,4619,79770,0,339,1,26397,3800,583,58529,49028
22423,11084,12294,9451,465,559,519,4619,76570,0,339,1,21778,3611,562,57181,47666
22217,11205,12164,9466,468,559,519,4619,75857,0,339,1,21215,3666,523,56640,47193
22258,11157,12227,9451,472,559,519,4619,76012,0,339,1,21481,3674,463,56988,47311
22423,11084,12294,9451,465,559,519,4619,76570,0,339,1,21778,3611,562,57181,47666
22658,11233,12128,9453,472,559,519,4619,77964,0,339,1,21999,3578,528,57679,48209
19996,11835,12352,8930,414,559,519,4619,80171,0,339,1,26484,3644,456,58489,48973
22189,11156,12233,9447,472,559,519,4619,75479,0,339,1,21110,3726,555,56542,47175
22217,11205,12164,9466,468,559,519,4619,75857,0,339,1,21215,3666,523,56640,47193
22258,11157,12227,9451,472,559,519,4619,76012,0,339,1,21481,3674,463,56988,47311
22423,11084,12294,9451,465,559,519,4619,76570,0,339,1,21778,3611,562,57181,47666
22224,11133,12240,9448,468,559,519,4619,75567,0,338,0,21346,3640,519,56738,47155
22237,11225,12143,9475,472,559,519,4619,75951,0,338,0,21091,3663,567,56635,47239
22439,11128,12249,9451,468,559,519,4619,76430,0,338,0,21877,3741,517,58129,47408
23689,11166,12177,9479,471,559,519,4619,80568,0,338,0,23350,3698,477,59523,48703
19585,11800,12345,8943,412,559,519,4619,85373,0,338,0,30609,3891,590,61023,50394
19601,11786,12354,8934,411,559,519,4619,94977,0,338,0,37547,3874,504,65599,53488
19564,11847,12310,8964,409,559,519,4619,114181,0,338,0,50439,4159,623,74816,59969
22303,11099,12279,9459,470,559,519,4619,76047,0,338,0,21176,3750,518,57363,47725
22872,11197,12196,9465,467,559,519,4619,77072,0,338,0,21322,3892,527,57363,47725
25318,11110,12252,9472,472,559,519,4619,82200,0,338,0,23038,3914,523,59948,49582
22785,11800,12345,8943,412,559,519,4619,88605,0,338,0,31387,3725,596,63829,51963
26001,11786,12354,8934,411,559,519,4619,101409,0,338,0,37970,4031,565,70658,56735
22247,11126,12263,9450,471,559,519,4619,75695,4,338,0,21015,3666,512,56540,47157
22557,11183,12194,9454,467,559,519,4619,76752,20,338,0,21598,3611,566,57133,47555
19600,11813,12305,8951,410,559,519,4619,80605,100,338,0,28373,3775,598,60583,48757
19591,11815,12330,8940,415,559,519,4619,85405,200,338,0,30604,3957,643,61340,50445
19604,11826,12310,8914,406,559,519,4619,95009,400,338,0,38832,4028,604,68473,53570
19591,11833,12303,8940,406,559,519,4619,114213,800,338,0,52934,4245,533,78035,59941
25076,11215,12199,9464,467,561,549,4619,81807,0,338,0,23409,3766,556,59954,49634
32644,11807,12471,8920,413,561,549,4619,105820,0,338,0,32902,4231,522,72362,58216
88056,11298,12520,9440,459,561,549,4619,225863,0,338,0,67987,5601,403,133451,101824
153254,11181,12968,9456,461,384,54,4554,375311,0,387,49,108286,8338,492,207247,155589
284616,11423,13514,9423,460,384,54,4554,675412,0,387,49,93981,5663,672,238260,213654
22259,11111,12267,9458,463,559,519,4619,75775,0,338,0,21301,3519,526,56830,47219
22511,11168,12219,9454,470,559,519,4619,77152,0,338,0,21913,3689,522,57472,47693
23756,11062,12295,9463,467,559,519,4619,82449,0,338,0,24880,4087,773,60189,49901
19608,11846,12344,8903,411,559,519,4619,89268,0,341,3,35411,3851,1053,65013,52642
19650,11811,12374,8921,408,559,519,4619,102706,0,341,3,45501,4295,1419,71369,57959
22186,11144,12275,9468,469,559,519,4619,75875,0,338,0,21305,3667,518,57009,47173
22216,11130,12390,9570,473,559,519,4619,76211,0,338,0,21157,3767,525,57090,47391
22304,11620,13061,9650,468,559,519,4619,77608,0,338,0,21370,3846,500,57844,48243
22275,12203,13756,9858,473,559,519,4619,80000,0,338,0,21713,4092,553,59257,49516
20196,12631,14068,9965,401,559,519,4619,83921,0,338,0,25304,4283,615,61332,50855
22205,11122,12409,9449,472,559,519,4619,76211,0,338,0,21244,3740,557,57045,47376
22310,11365,12867,9453,467,559,519,4619,77896,0,338,0,21642,3812,564,57712,48058
22282,11699,13384,9454,467,559,519,4619,80000,0,338,0,22128,4058,552,58945,48952
