Readers,Rows,Columns,Par,Improve
0.066667,0.01,0.039063,0.005208,1
0.066667,0.01,0.039063,0.041667,0.575486
0.066667,0.01,0.039063,0.125,0.428163
0.066667,0.01,0.039063,0.25,0.365743
0.066667,0.01,0.078125,0.005208,1
0.066667,0.01,0.078125,0.041667,0.4286
0.066667,0.01,0.078125,0.125,0.276025
0.066667,0.01,0.078125,0.25,0.233625
0.066667,0.01,0.195313,0.005208,1
0.066667,0.01,0.195313,0.041667,0.318926
0.066667,0.01,0.195313,0.125,0.170104
0.066667,0.01,0.195313,0.25,0.114666
0.066667,0.05,0.039063,0.005208,1
0.066667,0.05,0.039063,0.041667,0.351237
0.066667,0.05,0.039063,0.125,0.190699
0.066667,0.05,0.039063,0.25,0.160913
0.066667,0.05,0.078125,0.005208,1
0.066667,0.05,0.078125,0.041667,0.30025
0.066667,0.05,0.078125,0.125,0.134349
0.066667,0.05,0.078125,0.25,0.098864
0.066667,0.05,0.195313,0.005208,1
0.066667,0.05,0.195313,0.041667,0.269368
0.066667,0.05,0.195313,0.125,0.106437
0.066667,0.05,0.195313,0.25,0.065824
0.066667,0.1,0.039063,0.005208,1
0.066667,0.1,0.039063,0.041667,0.320735
0.066667,0.1,0.039063,0.125,0.158907
0.066667,0.1,0.039063,0.25,0.122692
0.066667,0.1,0.078125,0.005208,1
0.066667,0.1,0.078125,0.041667,0.285529
0.066667,0.1,0.078125,0.125,0.122309
0.066667,0.1,0.078125,0.25,0.086807
0.066667,0.1,0.195313,0.005208,1
0.066667,0.1,0.195313,0.041667,0.264266
0.066667,0.1,0.195313,0.125,0.099415
0.066667,0.1,0.195313,0.25,0.060291
0.266667,0.01,0.039063,0.005208,1
0.266667,0.01,0.039063,0.041667,0.663236
0.266667,0.01,0.039063,0.125,0.486614
0.266667,0.01,0.039063,0.25,0.384487
0.266667,0.01,0.078125,0.005208,1
0.266667,0.01,0.078125,0.041667,0.484317
0.266667,0.01,0.078125,0.125,0.308978
0.266667,0.01,0.078125,0.25,0.274745
0.266667,0.01,0.195313,0.005208,1
0.266667,0.01,0.195313,0.041667,0.351467
0.266667,0.01,0.195313,0.125,0.20636
0.266667,0.01,0.195313,0.25,0.167707
0.266667,0.05,0.039063,0.005208,1
