Operation,Param #1,Param #2,Param #3,Param #4,LUT3,LUT4,LUT5,LUT6,LUT7,MEM16,MEM32,MEM64,Regs,Mregs,DSPs,BRAM,Channels,ALMs
Fringe,,,,,22600,11140,12350,9200,468,559,519,4619,75400,0,0,340,0,
UnalignedLoad,,,,,410,50,70,53,,,,,920,,,,1,
AlignedLoad,,,,,410,50,70,53,,,,,920,,,,1,
UnalignedStore,,,,,893,91,96,618,10,,,,4692,,,,1,
AlignedStore,,,,,893,91,96,618,10,,,,4692,,,,1,
Parallel,n,,,,,4.5*n,,,,,,,3*n,,,,,
MetaPipe,n,,,,,5.5*n*n + 22.5*n + 105,,,,,,,35 + 0.5*n*n + 1.5*n,,,,,
Sequential,n,,,,,7*n + 40,,,,,,,2*n + 35,,,,,
Switch,n,,,,n,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Counter,b,p,,,b + p,,,,,,,,b*p,,,,,
CounterChain,n,,,,,,,,,,,,,,,,,
SwitchMux,n,b,,,n*b,,,,,,,,,,,,,
Mux,b,,,,b,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
FloatNeg,s,e,,,1,,,,,,,,,,,,,
FltNeg,s,e,,,1,,,,,,,,,,,,,
FloatAbs,s,e,,,1,,,,,,,,,,,,,
FltAbs,s,e,,,1,,,,,,,,,,,,,
FloatAdd,,,,,397,29,125,34,5,50,,,606,,,,,
FloatSub,,,,,397,29,125,34,5,50,,,606,,,,,
FloatMul,,,,,152,10,21,2,,43,,,335,,1,,,
FloatDiv,,,,,2384,448,149,385,1,9,16,,3048,,,,,
FloatLt,,,,,,42,26,,,,,,33,,,,,
FloatLeq,,,,,,42,26,,,,,,33,,,,,
FloatNeq,,,,,,42,26,,,,,,33,,,,,
FloatEql,,,,,,42,26,,,,,,33,,,,,
FloatExp,,,,,368,102,137,38,,24,,,670,,5,2,,
FloatSqrt,,,,,476,6,6,,,,11,,900,,,,,
FixToFloat,,,,,,50,,132,,,,,238,,,,,
FloatToFix,b,f,,,,160,,96,,,,,223+b+f,,,,,
,,,,,,,,,,,,,,,,,,
FixNeg,b,,,,b,,,,,,,,,,,,,
FixInv,b,,,,b,,,,,,,,,,,,,
FixAdd,b,,,,b,,,,,,,,,,,,,
FixSub,b,,,,b,,,,,,,,,,,,,
FixMulSmall,b,,,,b,,,,,,,,,,,,,
FixMulBig,b,,,,,,,,,,,,,,0.0625*b,,,
FixDivXXX,,,,,,,,,,,,,,,,,,
FixModXXX,,,,,,,,,,,,,,,,,,
FixLt,b,,,,b,,,,,,,,,,,,,
FixLeq,b,,,,b,,,,,,,,,,,,,
FixNeq,b,,,,b,,,,,,,,,,,,,
FixEql,b,,,,b,,,,,,,,,,,,,
FixAnd,b,,,,b,,,,,,,,,,,,,
FixOr,b,,,,b,,,,,,,,,,,,,
FixXor,b,,,,b,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
BitNot,,,,,1,,,,,,,,,,,,,
BitAnd,,,,,1,,,,,,,,,,,,,
BitOr,,,,,1,,,,,,,,,,,,,
BitXOr,,,,,1,,,,,,,,,,,,,
BitEql,,,,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Reg,b,d,,,b*d + -1.0*b,,,,,,,,,b*d,,,,
RegFile1D,b,d,c,,b*d + -1.0*b,,,,,,,,,b*d*c,,,,
RegFile2D,b,d,r,c,b*d + -1.0*b,,,,,,,,,b*d*r*c,,,,
FIFO,b,d,,,,,,,,b*d,,,,,,,,
